season,celebrity,judge_score_mean,fan_share_mean,fan_votes_mean,weeks_survived,ballroom_partner,celebrity_industry,celebrity_age_during_season,celebrity_homestate,Industry_Group,Region_Group,Age_Squared,Y_Judge,Y_Fan,Rank_Judge,Rank_Fan,Rank_Gap,Pred_Judge,Pred_Fan,Residual_Judge,Residual_Fan
1,Evander Holyfield,5.0,0.18377332224890608,213631.65670590967,3,Edyta Sliwinska,Athlete,42,Alabama,Athlete,South,1764,-1.7855652229917227,2.078936931927466,348.5,13.0,335.5,-0.11271719199142627,0.4786854279112777,-1.6728480310002964,1.6002515040161882
1,Kelly Monaco,6.8,0.29898505582805524,728292.1025113104,5,Alec Mazo,Actor/Actress,29,Pennsylvania,Actor,Northeast,841,-0.42933930304381196,5.024131284438648,274.5,1.0,273.5,0.5471632137884035,0.6892810395448984,-0.9765025168322155,4.33485024489375
2,Master P,4.166666666666667,0.1344380845181194,157002.581872344,4,Ashly DelGrosso,Singer/Rapper,35,Louisiana,Musician,South,1225,-2.4134475933379775,0.8177644885435741,353.0,86.0,267.0,0.07317866146046736,0.3399141687249656,-2.486626254798445,0.4778503198186085
