season,celebrity,judge_score_mean,fan_share_mean,fan_votes_mean,weeks_survived,ballroom_partner,celebrity_industry,celebrity_age_during_season,celebrity_homestate,Industry_Group,Region_Group,Age_Squared,Y_Judge,Y_Fan,Rank_Judge,Rank_Fan,Rank_Gap,Pred_Judge,Pred_Fan,Residual_Judge,Residual_Fan,Total_Residual
16,Alexandra Raisman,8.816666666666666,0.14497532237860505,324512.3122790686,10,Mark Ballas,Athlete,18,Massachusetts,Athlete,Northeast,324,1.0901360331941252,1.087131266333175,70.0,57.0,13.0,0.9603375073494679,1.0589240340820685,0.12979852584465734,0.02820723225110644,0.15800575809576378
16,Zendaya,9.099993333333334,0.14197456025869973,309385.76575078943,10,Valentin Chmerkovskiy,Actor/Actress,16,California,Actor,West,256,1.3036110160528898,1.010421825599839,25.0,66.0,-41.0,1.2865954858186424,0.655093386822716,0.0170155302342474,0.35532843877712295,0.37234396901137035
12,Chelsea Kane,8.728392592592591,0.14975607434802563,331061.2100487542,9,Mark Ballas,Actor/Actress,22,Arizona,Actor,West,484,1.0236251513504238,1.2093431562482002,83.0,47.0,36.0,1.0552332985857023,0.6208768291916635,-0.031608147235278494,0.5884663270565367,0.6200744742918152
